Board Name,Card Id,Card Title,Card Current Column,Card Type,Card Cost/Innovation,Card Url,Card Assignee,Card Pair Programming,Card Reviewer,Column Name,Author,Touch Time
"Groot!","28768","Analise e estudo inicial de fetaure Embedded ","In Progress","Study","Innovation","https://involves.kanbanize.com/ctrl_board/52/cards/28768/details/","matheus.brandao","","","In Progress","matheus.brandao","81:40:15"
"Groot!","37877","MDias Observabilidade","Reviewing","Operation","Cost","https://involves.kanbanize.com/ctrl_board/52/cards/37877/details/","lutielo.fernandes","mateus.pegoraro,larissa.cassel","","In Progress","mateus.pegoraro","100:03:33"
"Groot!","37877","MDias Observabilidade","Reviewing","Operation","Cost","https://involves.kanbanize.com/ctrl_board/52/cards/37877/details/","lutielo.fernandes","mateus.pegoraro,larissa.cassel","","Reviewing","lutielo.fernandes","60:33:00"
"Groot!","37962","Adicionar cobertura dos testes no Sonar","Requested","Incremental Improvement","Innovation","https://involves.kanbanize.com/ctrl_board/52/cards/37962/details/","None","","","In Progress","Cristian","00:00:31"
"Groot!","39248","Criar CI para o projeto frontend","In Progress","Incremental Improvement","Innovation","https://involves.kanbanize.com/ctrl_board/52/cards/39248/details/","lutielo.fernandes","","","In Progress","lutielo.fernandes","23:01:53"
"Groot!","39287","Configurar o redis para cache dos dados vindos do BI","In Progress","Incremental Improvement","Innovation","https://involves.kanbanize.com/ctrl_board/52/cards/39287/details/","lutielo.fernandes","","","In Progress","mateus.pegoraro","46:46:26"
"Groot!","39420","Incluir o banner do Involves Experience no Stage","Done","Incremental Improvement","Innovation","https://involves.kanbanize.com/ctrl_board/52/cards/39420/details/","mateus.pegoraro","","","In Progress","mateus.pegoraro","17:54:36"
"Groot!","39422","[J&J] Solicitar ao backstage a configuração do cognito para J&J","Ready to Review","Incremental Improvement","Innovation","https://involves.kanbanize.com/ctrl_board/52/cards/39422/details/","larissa.cassel","lutielo.fernandes","","In Progress","larissa.cassel","00:13:17"
"Groot!","39423","[J&J] Readequar internacionalização do frontend","In Progress","Incremental Improvement","Innovation","https://involves.kanbanize.com/ctrl_board/52/cards/39423/details/","larissa.cassel","","","In Progress","larissa.cassel","33:48:17"
"Groot!","39425","[J&J] Readequar tela Login para quando não tiver providers configurados (exibir somente campo usuario e senha)","In Progress","Incremental Improvement","Innovation","https://involves.kanbanize.com/ctrl_board/52/cards/39425/details/","larissa.cassel","","","In Progress","larissa.cassel","01:37:32"
"Groot!","39425","[J&J] Readequar tela Login para quando não tiver providers configurados (exibir somente campo usuario e senha)","In Progress","Incremental Improvement","Innovation","https://involves.kanbanize.com/ctrl_board/52/cards/39425/details/","larissa.cassel","","","In Progress","larissa.cassel","14:20:57"
"Groot!","39781","Acesso SSO","In Progress","Zendesk","Cost","https://involves.kanbanize.com/ctrl_board/52/cards/39781/details/","mateus.pegoraro","","","In Progress","mateus.pegoraro","00:00:00"
"Groot!","40170","Geolocalização de PDVs (apoio touring)","In Progress","Innovation","Innovation","https://involves.kanbanize.com/ctrl_board/52/cards/40170/details/","matheus.brandao","","","In Progress","matheus.brandao","00:00:00"
